"Id","Price","Description","Brand","Category","DiscountPercentage","Images","MinimumOrderQuantity","Rating","Sku","Stock","Thumbnail","Title","Weight"
"11","1899.99","The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.","Annibale Colombo","furniture","0.29","{""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Bed/1.png"",""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Bed/2.png"",""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Bed/3.png""}","1","4.14","4KMDTZWF","47","https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Bed/thumbnail.png","Annibale Colombo Bed","3"
"12","2499.99","The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.","Annibale Colombo","furniture","18.54","{""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Sofa/1.png"",""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Sofa/2.png"",""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Sofa/3.png""}","1","3.08","LUU95CQP","16","https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Sofa/thumbnail.png","Annibale Colombo Sofa","3"
"13","299.99","The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.","Furniture Co.","furniture","9.58","{""https://cdn.dummyjson.com/products/images/furniture/Bedside%20Table%20African%20Cherry/1.png"",""https://cdn.dummyjson.com/products/images/furniture/Bedside%20Table%20African%20Cherry/2.png"",""https://cdn.dummyjson.com/products/images/furniture/Bedside%20Table%20African%20Cherry/3.png""}","5","4.48","OWPLTZYX","16","https://cdn.dummyjson.com/products/images/furniture/Bedside%20Table%20African%20Cherry/thumbnail.png","Bedside Table African Cherry","10"
"14","499.99","The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.","Knoll","furniture","15.23","{""https://cdn.dummyjson.com/products/images/furniture/Knoll%20Saarinen%20Executive%20Conference%20Chair/1.png"",""https://cdn.dummyjson.com/products/images/furniture/Knoll%20Saarinen%20Executive%20Conference%20Chair/2.png"",""https://cdn.dummyjson.com/products/images/furniture/Knoll%20Saarinen%20Executive%20Conference%20Chair/3.png""}","5","4.11","RKHVJ4FE","47","https://cdn.dummyjson.com/products/images/furniture/Knoll%20Saarinen%20Executive%20Conference%20Chair/thumbnail.png","Knoll Saarinen Executive Conference Chair","3"
"15","799.99","The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.","Bath Trends","furniture","11.22","{""https://cdn.dummyjson.com/products/images/furniture/Wooden%20Bathroom%20Sink%20With%20Mirror/1.png"",""https://cdn.dummyjson.com/products/images/furniture/Wooden%20Bathroom%20Sink%20With%20Mirror/2.png"",""https://cdn.dummyjson.com/products/images/furniture/Wooden%20Bathroom%20Sink%20With%20Mirror/3.png""}","1","3.26","7OLTIEVO","95","https://cdn.dummyjson.com/products/images/furniture/Wooden%20Bathroom%20Sink%20With%20Mirror/thumbnail.png","Wooden Bathroom Sink With Mirror","6"
"16","1.99","Fresh and crisp apples, perfect for snacking or incorporating into various recipes.","Generic Brand","groceries","1.97","{""https://cdn.dummyjson.com/products/images/groceries/Apple/1.png""}","44","2.96","QTROUV79","9","https://cdn.dummyjson.com/products/images/groceries/Apple/thumbnail.png","Apple","8"
"17","12.99","High-quality beef steak, great for grilling or cooking to your preferred level of doneness.","Generic Brand","groceries","17.99","{""https://cdn.dummyjson.com/products/images/groceries/Beef%20Steak/1.png""}","21","2.83","BWWA2MSO","96","https://cdn.dummyjson.com/products/images/groceries/Beef%20Steak/thumbnail.png","Beef Steak","9"
"18","8.99","Nutritious cat food formulated to meet the dietary needs of your feline friend.","Generic Brand","groceries","9.57","{""https://cdn.dummyjson.com/products/images/groceries/Cat%20Food/1.png""}","48","2.88","C3F8QN6O","13","https://cdn.dummyjson.com/products/images/groceries/Cat%20Food/thumbnail.png","Cat Food","9"
"19","9.99","Fresh and tender chicken meat, suitable for various culinary preparations.","Generic Brand","groceries","10.46","{""https://cdn.dummyjson.com/products/images/groceries/Chicken%20Meat/1.png"",""https://cdn.dummyjson.com/products/images/groceries/Chicken%20Meat/2.png""}","46","4.61","G5YEHW7B","69","https://cdn.dummyjson.com/products/images/groceries/Chicken%20Meat/thumbnail.png","Chicken Meat","7"
"20","4.99","Versatile cooking oil suitable for frying, sautéing, and various culinary applications.","Generic Brand","groceries","18.89","{""https://cdn.dummyjson.com/products/images/groceries/Cooking%20Oil/1.png""}","2","4.01","Q6ZP1UY8","22","https://cdn.dummyjson.com/products/images/groceries/Cooking%20Oil/thumbnail.png","Cooking Oil","8"
"21","1.49","Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.","Generic Brand","groceries","11.44","{""https://cdn.dummyjson.com/products/images/groceries/Cucumber/1.png""}","7","4.71","6KGF2K6Z","22","https://cdn.dummyjson.com/products/images/groceries/Cucumber/thumbnail.png","Cucumber","9"
"22","10.99","Specially formulated dog food designed to provide essential nutrients for your canine companion.","Generic Brand","groceries","18.15","{""https://cdn.dummyjson.com/products/images/groceries/Dog%20Food/1.png""}","29","2.74","A6QRCH37","40","https://cdn.dummyjson.com/products/images/groceries/Dog%20Food/thumbnail.png","Dog Food","2"
"23","2.99","Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.","Generic Brand","groceries","5.8","{""https://cdn.dummyjson.com/products/images/groceries/Eggs/1.png""}","43","4.46","YA617RI7","10","https://cdn.dummyjson.com/products/images/groceries/Eggs/thumbnail.png","Eggs","4"
"24","14.99","Quality fish steak, suitable for grilling, baking, or pan-searing.","Generic Brand","groceries","7.0","{""https://cdn.dummyjson.com/products/images/groceries/Fish%20Steak/1.png""}","49","4.83","XNIH1MTA","99","https://cdn.dummyjson.com/products/images/groceries/Fish%20Steak/thumbnail.png","Fish Steak","8"
"25","1.29","Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.","Generic Brand","groceries","15.5","{""https://cdn.dummyjson.com/products/images/groceries/Green%20Bell%20Pepper/1.png""}","1","4.28","HU7S7VQ0","89","https://cdn.dummyjson.com/products/images/groceries/Green%20Bell%20Pepper/thumbnail.png","Green Bell Pepper","7"
"26","0.99","Spicy green chili pepper, ideal for adding heat to your favorite recipes.","Generic Brand","groceries","18.51","{""https://cdn.dummyjson.com/products/images/groceries/Green%20Chili%20Pepper/1.png""}","43","4.43","Y4RM3JCB","8","https://cdn.dummyjson.com/products/images/groceries/Green%20Chili%20Pepper/thumbnail.png","Green Chili Pepper","2"
"27","6.99","Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.","Generic Brand","groceries","1.91","{""https://cdn.dummyjson.com/products/images/groceries/Honey%20Jar/1.png""}","1","3.5","BTBNIIOU","25","https://cdn.dummyjson.com/products/images/groceries/Honey%20Jar/thumbnail.png","Honey Jar","9"
"28","5.49","Creamy and delicious ice cream, available in various flavors for a delightful treat.","Generic Brand","groceries","7.58","{""https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/1.png"",""https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/2.png"",""https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/3.png"",""https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/4.png""}","19","3.77","VEZMU1EQ","76","https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/thumbnail.png","Ice Cream","5"
"29","3.99","Refreshing fruit juice, packed with vitamins and great for staying hydrated.","Generic Brand","groceries","5.45","{""https://cdn.dummyjson.com/products/images/groceries/Juice/1.png""}","26","3.41","M2K19S06","99","https://cdn.dummyjson.com/products/images/groceries/Juice/thumbnail.png","Juice","2"
"30","2.49","Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.","Generic Brand","groceries","10.32","{""https://cdn.dummyjson.com/products/images/groceries/Kiwi/1.png""}","8","4.37","0X3NORB9","1","https://cdn.dummyjson.com/products/images/groceries/Kiwi/thumbnail.png","Kiwi","8"
"31","0.79","Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.","Generic Brand","groceries","17.81","{""https://cdn.dummyjson.com/products/images/groceries/Lemon/1.png""}","1","4.25","J074TE3H","0","https://cdn.dummyjson.com/products/images/groceries/Lemon/thumbnail.png","Lemon","10"
"32","3.49","Fresh and nutritious milk, a staple for various recipes and daily consumption.","Generic Brand","groceries","15.09","{""https://cdn.dummyjson.com/products/images/groceries/Milk/1.png""}","41","3.14","VOZKMF40","57","https://cdn.dummyjson.com/products/images/groceries/Milk/thumbnail.png","Milk","1"
"33","4.99","Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.","Generic Brand","groceries","16.35","{""https://cdn.dummyjson.com/products/images/groceries/Mulberry/1.png""}","50","3.19","0M1K7RRC","79","https://cdn.dummyjson.com/products/images/groceries/Mulberry/thumbnail.png","Mulberry","4"
"34","7.99","Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.","Generic Brand","groceries","11.65","{""https://cdn.dummyjson.com/products/images/groceries/Nescafe%20Coffee/1.png""}","8","2.54","FP5H3065","22","https://cdn.dummyjson.com/products/images/groceries/Nescafe%20Coffee/thumbnail.png","Nescafe Coffee","9"
"35","2.29","Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.","Generic Brand","groceries","4.05","{""https://cdn.dummyjson.com/products/images/groceries/Potatoes/1.png""}","29","3.82","W4NOBW45","8","https://cdn.dummyjson.com/products/images/groceries/Potatoes/thumbnail.png","Potatoes","9"
"36","19.99","Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.","Generic Brand","groceries","1.58","{""https://cdn.dummyjson.com/products/images/groceries/Protein%20Powder/1.png""}","39","3.91","BT2QOWKZ","65","https://cdn.dummyjson.com/products/images/groceries/Protein%20Powder/thumbnail.png","Protein Powder","2"
"37","1.99","Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.","Generic Brand","groceries","17.89","{""https://cdn.dummyjson.com/products/images/groceries/Red%20Onions/1.png""}","40","4.08","TAF870KJ","86","https://cdn.dummyjson.com/products/images/groceries/Red%20Onions/thumbnail.png","Red Onions","2"
"38","5.99","High-quality rice, a staple for various cuisines and a versatile base for many dishes.","Generic Brand","groceries","12.02","{""https://cdn.dummyjson.com/products/images/groceries/Rice/1.png""}","18","3.94","905JXMXM","49","https://cdn.dummyjson.com/products/images/groceries/Rice/thumbnail.png","Rice","1"
"39","1.99","Assorted soft drinks in various flavors, perfect for refreshing beverages.","Generic Brand","groceries","1.88","{""https://cdn.dummyjson.com/products/images/groceries/Soft%20Drinks/1.png""}","41","4.59","I1ZNSLXJ","78","https://cdn.dummyjson.com/products/images/groceries/Soft%20Drinks/thumbnail.png","Soft Drinks","9"
"40","3.99","Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.","Generic Brand","groceries","19.59","{""https://cdn.dummyjson.com/products/images/groceries/Strawberry/1.png""}","38","4.5","LPP7I4JZ","9","https://cdn.dummyjson.com/products/images/groceries/Strawberry/thumbnail.png","Strawberry","4"
"41","2.49","Convenient tissue paper box for everyday use, providing soft and absorbent tissues.","Generic Brand","groceries","15.44","{""https://cdn.dummyjson.com/products/images/groceries/Tissue%20Paper%20Box/1.png"",""https://cdn.dummyjson.com/products/images/groceries/Tissue%20Paper%20Box/2.png""}","1","4.55","IQEZWXMJ","97","https://cdn.dummyjson.com/products/images/groceries/Tissue%20Paper%20Box/thumbnail.png","Tissue Paper Box","3"
"42","0.99","Pure and refreshing bottled water, essential for staying hydrated throughout the day.","Generic Brand","groceries","13.71","{""https://cdn.dummyjson.com/products/images/groceries/Water/1.png""}","46","2.93","LZG5PPHA","95","https://cdn.dummyjson.com/products/images/groceries/Water/thumbnail.png","Water","2"
"43","59.99","The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.","Generic Brand","home-decoration","0.65","{""https://cdn.dummyjson.com/products/images/home-decoration/Decoration%20Swing/1.png"",""https://cdn.dummyjson.com/products/images/home-decoration/Decoration%20Swing/2.png"",""https://cdn.dummyjson.com/products/images/home-decoration/Decoration%20Swing/3.png""}","2","3.56","MBEK52ST","62","https://cdn.dummyjson.com/products/images/home-decoration/Decoration%20Swing/thumbnail.png","Decoration Swing","8"
"44","29.99","The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.","Generic Brand","home-decoration","1.53","{""https://cdn.dummyjson.com/products/images/home-decoration/Family%20Tree%20Photo%20Frame/1.png""}","16","3.84","EZOJC792","34","https://cdn.dummyjson.com/products/images/home-decoration/Family%20Tree%20Photo%20Frame/thumbnail.png","Family Tree Photo Frame","4"
"45","39.99","The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.","Generic Brand","home-decoration","19.45","{""https://cdn.dummyjson.com/products/images/home-decoration/House%20Showpiece%20Plant/1.png"",""https://cdn.dummyjson.com/products/images/home-decoration/House%20Showpiece%20Plant/2.png"",""https://cdn.dummyjson.com/products/images/home-decoration/House%20Showpiece%20Plant/3.png""}","7","3.61","LLNHNIFU","89","https://cdn.dummyjson.com/products/images/home-decoration/House%20Showpiece%20Plant/thumbnail.png","House Showpiece Plant","9"
"46","14.99","The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.","Generic Brand","home-decoration","0.19","{""https://cdn.dummyjson.com/products/images/home-decoration/Plant%20Pot/1.png"",""https://cdn.dummyjson.com/products/images/home-decoration/Plant%20Pot/2.png"",""https://cdn.dummyjson.com/products/images/home-decoration/Plant%20Pot/3.png"",""https://cdn.dummyjson.com/products/images/home-decoration/Plant%20Pot/4.png""}","44","3.33","M8IWE8MF","70","https://cdn.dummyjson.com/products/images/home-decoration/Plant%20Pot/thumbnail.png","Plant Pot","8"
"47","49.99","The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.","Generic Brand","home-decoration","0.59","{""https://cdn.dummyjson.com/products/images/home-decoration/Table%20Lamp/1.png""}","10","4.56","0K9UDIUB","84","https://cdn.dummyjson.com/products/images/home-decoration/Table%20Lamp/thumbnail.png","Table Lamp","2"
"48","7.99","The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.","Generic Brand","kitchen-accessories","4.85","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Bamboo%20Spatula/1.png""}","26","4.4","MYIWU1I6","0","https://cdn.dummyjson.com/products/images/kitchen-accessories/Bamboo%20Spatula/thumbnail.png","Bamboo Spatula","4"
"49","5.99","The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.","Generic Brand","kitchen-accessories","9.22","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Black%20Aluminium%20Cup/1.png"",""https://cdn.dummyjson.com/products/images/kitchen-accessories/Black%20Aluminium%20Cup/2.png""}","5","3.62","1CSCC3UH","42","https://cdn.dummyjson.com/products/images/kitchen-accessories/Black%20Aluminium%20Cup/thumbnail.png","Black Aluminium Cup","8"
"50","9.99","The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.","Generic Brand","kitchen-accessories","16.87","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Black%20Whisk/1.png""}","30","2.88","0TDFNB1Q","17","https://cdn.dummyjson.com/products/images/kitchen-accessories/Black%20Whisk/thumbnail.png","Black Whisk","6"
"51","39.99","The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.","Generic Brand","kitchen-accessories","7.36","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Boxed%20Blender/1.png"",""https://cdn.dummyjson.com/products/images/kitchen-accessories/Boxed%20Blender/2.png"",""https://cdn.dummyjson.com/products/images/kitchen-accessories/Boxed%20Blender/3.png"",""https://cdn.dummyjson.com/products/images/kitchen-accessories/Boxed%20Blender/4.png""}","18","2.73","6HG6U3Q9","81","https://cdn.dummyjson.com/products/images/kitchen-accessories/Boxed%20Blender/thumbnail.png","Boxed Blender","10"
"52","29.99","The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.","Generic Brand","kitchen-accessories","5.89","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Carbon%20Steel%20Wok/1.png""}","16","2.94","OOE6KF9I","2","https://cdn.dummyjson.com/products/images/kitchen-accessories/Carbon%20Steel%20Wok/thumbnail.png","Carbon Steel Wok","4"
"53","12.99","The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.","Generic Brand","kitchen-accessories","17.72","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Chopping%20Board/1.png""}","9","4.82","B7MZ3JGK","53","https://cdn.dummyjson.com/products/images/kitchen-accessories/Chopping%20Board/thumbnail.png","Chopping Board","3"
"54","8.99","The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.","Generic Brand","kitchen-accessories","12.35","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Citrus%20Squeezer%20Yellow/1.png""}","12","4.18","PIUKVEZ4","59","https://cdn.dummyjson.com/products/images/kitchen-accessories/Citrus%20Squeezer%20Yellow/thumbnail.png","Citrus Squeezer Yellow","9"
"55","6.99","The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.","Generic Brand","kitchen-accessories","9.6","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Egg%20Slicer/1.png""}","23","2.91","WG4L41YK","30","https://cdn.dummyjson.com/products/images/kitchen-accessories/Egg%20Slicer/thumbnail.png","Egg Slicer","5"
"56","49.99","The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.","Generic Brand","kitchen-accessories","16.64","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Electric%20Stove/1.png"",""https://cdn.dummyjson.com/products/images/kitchen-accessories/Electric%20Stove/2.png"",""https://cdn.dummyjson.com/products/images/kitchen-accessories/Electric%20Stove/3.png"",""https://cdn.dummyjson.com/products/images/kitchen-accessories/Electric%20Stove/4.png""}","8","4.84","D88AMROJ","41","https://cdn.dummyjson.com/products/images/kitchen-accessories/Electric%20Stove/thumbnail.png","Electric Stove","9"
"57","9.99","The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.","Generic Brand","kitchen-accessories","2.56","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Fine%20Mesh%20Strainer/1.png""}","32","3.7","4XB2EHHJ","13","https://cdn.dummyjson.com/products/images/kitchen-accessories/Fine%20Mesh%20Strainer/thumbnail.png","Fine Mesh Strainer","6"
"58","3.99","The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.","Generic Brand","kitchen-accessories","14.36","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Fork/1.png""}","10","4.18","5XHGD6PF","10","https://cdn.dummyjson.com/products/images/kitchen-accessories/Fork/thumbnail.png","Fork","6"
"59","4.99","The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.","Generic Brand","kitchen-accessories","7.38","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Glass/1.png""}","25","3.06","2RO2KDHM","68","https://cdn.dummyjson.com/products/images/kitchen-accessories/Glass/thumbnail.png","Glass","5"
"60","10.99","The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.","Generic Brand","kitchen-accessories","3.29","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Grater%20Black/1.png""}","22","2.87","UBA8CV8A","80","https://cdn.dummyjson.com/products/images/kitchen-accessories/Grater%20Black/thumbnail.png","Grater Black","3"
"61","34.99","The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.","Generic Brand","kitchen-accessories","6.44","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Hand%20Blender/1.png""}","7","3.71","JZNXDL37","8","https://cdn.dummyjson.com/products/images/kitchen-accessories/Hand%20Blender/thumbnail.png","Hand Blender","4"
"62","5.99","The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.","Generic Brand","kitchen-accessories","0.95","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Ice%20Cube%20Tray/1.png""}","11","3.27","K0UE7U34","81","https://cdn.dummyjson.com/products/images/kitchen-accessories/Ice%20Cube%20Tray/thumbnail.png","Ice Cube Tray","8"
"63","7.99","The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.","Generic Brand","kitchen-accessories","9.23","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Kitchen%20Sieve/1.png""}","1","2.96","4U0L9HB6","33","https://cdn.dummyjson.com/products/images/kitchen-accessories/Kitchen%20Sieve/thumbnail.png","Kitchen Sieve","5"
"64","14.99","The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.","Generic Brand","kitchen-accessories","19.95","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Knife/1.png""}","47","4.31","NHTTZ30W","59","https://cdn.dummyjson.com/products/images/kitchen-accessories/Knife/thumbnail.png","Knife","7"
"65","12.99","The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.","Generic Brand","kitchen-accessories","15.33","{""https://cdn.dummyjson.com/products/images/kitchen-accessories/Lunch%20Box/1.png""}","49","2.84","T4T5IDXP","26","https://cdn.dummyjson.com/products/images/kitchen-accessories/Lunch%20Box/thumbnail.png","Lunch Box","1"
